source_node_id,target_node_id
1,2
2,2285
2285,59615
2285,59616
2285,59617
2285,59618
2285,59619
2285,59620
2285,59621
2285,59622
2285,59623
2285,59624
2,2286
2286,59625
2286,59626
2286,59627
2286,59628
2286,59629
2286,59630
2,2287
2287,59633
2287,59634
2,2288
2288,59635
2288,59636
2288,59637
2288,59638
2288,59639
2288,59640
2,2292
2,2296
2296,60221
2296,60222
2296,60223
2296,60224
2296,60225
2,2298
2298,60112
2298,60113
2298,60114
2298,60115
1,3
3,2372
2372,2373
2373,2374
2374,2458
2458,2459
2459,2466
2466,2496
2496,2497
2497,19227
2497,19228
2497,19229
2497,19230
1,4
4,7
4,8
8,9
9,12
12,13
12,14
14,15
14,16
9,17
17,18
18,19
18,20
20,21
20,22
17,23
23,24
24,25
25,26
25,27
24,28
28,29
29,30
29,31
28,32
23,33
33,34
33,35
35,36
35,37
8,10
10,39
39,40
39,41
10,42
10,43
10,44
10,45
10,46
10,47
1,5