node_id,node_name,child_nodes,leaf_node,tolorg_link,extinct,confidence,phylesis
1,Life on Earth,4,0,1,0,0,0
2,Eubacteria,24,0,1,0,0,0
2285,Aquificae,10,0,1,0,0,0
59615,Aquifex,0,0,0,0,0,0
59616,Calderobacterium,0,0,0,0,0,0
59617,Hydrogenobacter,0,0,0,0,0,0
59618,Thermocrinis,0,0,0,0,0,0
59619,Hydrogenothermus,0,0,0,0,0,0
59620,Persephonella,0,0,0,0,0,0
59621,Sulfurihydrogenibium,0,0,0,0,0,0
59622,Balnearium,0,0,0,0,2,0
59623,Desulfurobacterium,0,0,0,0,2,0
59624,Thermovibrio,0,0,0,0,2,0
2286,Thermotogae,6,0,1,0,0,0
59625,Thermotoga,0,0,0,0,0,0
59626,Fervidobacterium,0,0,0,0,0,0
59627,Geotoga,0,0,0,0,0,0
59628,Marinitoga,0,0,0,0,0,0
59629,Petrotoga,0,0,0,0,0,0
59630,Thermosipho,0,0,0,0,0,0
2287,Thermodesulfobacteria,2,0,1,0,0,0
59633,Thermodesulfobacterium,0,0,0,0,0,0
59634,Thermodesulfatator,0,0,0,0,0,0
2288,Deinococcus-Thermus,6,0,1,0,0,0
59635,Deinococcus,0,0,0,0,0,0
59636,Thermus,0,0,0,0,0,0
59637,Marinithermus,0,0,0,0,0,0
59638,Meiothermus,0,0,0,0,0,0
59639,Oceanithermus,0,0,0,0,0,0
59640,Vulcanithermus,0,0,0,0,0,0
2292,Gemmatimonas aurantiaca,0,1,1,0,0,0
2296,Verrucomicrobia,5,0,1,0,0,0
60221,Opitutus,0,0,0,0,0,0
60222,Prosthecobacter,0,0,0,0,0,0
60223,Verrucomicrobium,0,0,0,0,0,0
60224,Victivallis,0,0,0,0,0,0
60225,Xiphinematobacter,0,0,0,0,0,0
2298,Planctomycetes,4,0,1,0,0,0
60112,Planctomyces,0,0,0,0,0,0
60113,Gemmata,0,0,0,0,0,0
60114,Isosphaera,0,0,0,0,0,0
60115,Pirellula,0,0,0,0,0,0
3,Eukaryotes,6,0,1,0,0,0
2372,Opisthokonts,2,0,0,0,0,0
2373,none,2,0,0,0,0,0
2374,Animals,2,0,1,0,0,0
2458,none,5,0,0,0,0,0
2459,Bilateria,11,0,1,0,0,0
2466,Deuterostomia,2,0,1,0,0,0
2496,none,2,0,0,0,0,0
2497,Echinodermata,4,0,1,0,0,0
19227,Arkarua,0,0,0,1,0,0
19228,Helicoplacus,0,0,0,1,0,0
19229,Edrioasteroidea,0,0,0,1,0,1
19230,none,2,0,0,0,0,0
4,Archaea,2,0,1,0,0,1
7,Korarchaeota,0,0,0,0,0,0
8,none,2,0,0,0,0,0
9,Crenarchaeota,2,0,1,0,0,0
12,none,2,0,0,0,0,0
13,Thermofilum,0,0,0,0,0,0
14,none,2,0,0,0,0,0
15,Pyrobaculum,0,0,0,0,0,0
16,Thermoproteus,0,0,0,0,0,0
17,none,2,0,0,0,0,0
18,none,2,0,0,0,0,0
19,Sulfolobus,0,0,0,0,0,0
20,none,2,0,0,0,0,0
21,Metallosphaera,0,0,0,0,0,0
22,Acidianus,0,0,0,0,0,0
23,none,2,0,0,0,0,0
24,none,2,0,0,0,0,0
25,none,2,0,0,0,0,0
26,Thermodiscus,0,0,0,0,0,0
27,Igneococcus,0,0,0,0,0,0
28,none,2,0,0,0,0,0
29,none,2,0,0,0,0,0
30,Thermosphaera,0,0,0,0,0,0
31,Desulfurococcus,0,0,0,0,0,0
32,Staphylothermus,0,0,0,0,0,0
33,none,2,0,0,0,0,0
34,Pyrolobus,0,0,0,0,0,0
35,none,2,0,0,0,0,0
36,Hyperthermus,0,0,0,0,0,0
37,Pyrodictium,0,0,0,0,0,0
10,Euryarchaeota,7,0,1,0,0,0
39,none,2,0,0,0,0,0
40,Halobacteriales,0,0,0,0,0,0
41,Methanomicrobiales,0,0,0,0,0,0
42,Methanobacteriales,0,0,0,0,0,0
43,Methanococcales,0,0,0,0,0,0
44,Methanopyrales,0,0,0,0,0,0
45,Archeoglobales,0,0,0,0,0,0
46,Thermoplasmales,0,0,0,0,0,0
47,Thermococcales,0,0,0,0,0,0
5,Viruses,6,0,1,0,2,1